city,subregion,parking,population,lat,lon,parking_per_pop,region,%_parking,cumulative_population,cumulative_parking
Cleveland,Ohio,184.2,367991,41.4996574,-81.6936772,21.80266852,us,0.091607099,51555530,6244.5
Anaheim,California,16.1,345940,33.8347516,-117.911732,2.025388854,us,0.008000027,51901470,6260.6
Honolulu,Hawaii,52,345510,21.304547,-157.855676,6.553294339,us,0.025852502,52246980,6312.6
Henderson,Nevada,38.8,322178,36.0301134,-114.9826194,5.241922682,us,0.019282741,52569158,6351.4
Stockton,California,14.4,322120,37.9577016,-121.2907796,1.941376784,us,0.007140191,52891278,6365.8
Lexington,Kentucky,89.7,321793,38.0464066,-84.4970393,12.14043899,us,0.044605999,53213071,6455.5
Corpus Christi,Texas,6.5,317773,27.7635302,-97.4033191,0.889388552,us,0.003226939,53530844,6462
Riverside,California,36.7,317261,33.9533546,-117.3961623,5.036074988,us,0.018242786,53848105,6498.7
Santa Ana,California,25.3,309441,33.7494951,-117.8732213,3.561957985,us,0.012584876,54157546,6524
Orlando,Florida,30.8,309154,28.5421109,-81.3790304,4.344430215,us,0.015335219,54466700,6554.8
Irvine,California,106.2,309031,33.6856969,-117.8259819,14.96346903,us,0.052797896,54775731,6661
Cincinnati,Ohio,193.2,308935,39.1014537,-84.5124602,27.24468222,us,0.096101716,55084666,6854.2
Newark,New Jersey,111.2,307220,40.735657,-74.1723667,15.76384041,us,0.05529601,55391886,6965.4
Saint Paul,Minnesota,219.1,307193,44.9497487,-93.0931028,31.06688932,us,0.10896609,55699079,7184.5
Pittsburgh,Pennsylvania,123.3,300431,40.4416941,-79.9900861,17.88082297,us,0.06133587,55999510,7307.8
Greensboro,North Carolina,55.9,298263,36.0726355,-79.7919754,8.161717795,us,0.02779478,56297773,7363.7
St. Louis,Missouri,235.6,293310,38.6280278,-90.1910154,34.99372389,us,0.117192363,56591083,7599.3
Lincoln,Nebraska,108.5,292657,40.8088861,-96.7077751,16.14226105,us,0.053939332,56883740,7707.8
Plano,Texas,32.3,288253,33.0136764,-96.6925096,4.876540205,us,0.016049737,57171993,7740.1
Anchorage,Alaska,121.9,288121,61.2163129,-149.894852,18.42494575,us,0.06061267,57460114,7862
Durham,North Carolina,83.9,285527,35.996653,-78.9018053,12.7955534,us,0.041714644,57745641,7945.9
Jersey City,New Jersey,128.5,283927,40.7215682,-74.047455,19.7203764,us,0.063929922,58029568,8074.4
Chandler,Arizona,42,279458,33.3062031,-111.8411851,6.550294444,us,0.020900643,58309026,8116.4
Chula Vista,California,32.4,277220,32.6400541,-117.0841955,5.084900477,us,0.016094938,58586246,8148.8
Buffalo,New York,170.6,276807,42.8867166,-78.8783922,26.85102951,us,0.084863374,58863053,8319.4
North Las Vegas,Nevada,5.9,274133,36.2005843,-115.121584,0.930152735,us,0.002911373,59137186,8325.3
Gilbert,Arizona,50.3,273136,33.3527632,-111.789037,8.023956958,us,0.025023602,59410322,8375.6
Madison,Wisconsin,72.5,269196,43.074761,-89.3837613,11.72528266,us,0.036039122,59679518,8448.1
Reno,Nevada,160.6,268851,39.5261206,-119.8126581,26.01432554,us,0.079855808,59948369,8608.7
Toledo,Ohio,183.2,268508,41.6529143,-83.5378173,29.71539405,us,0.091100551,60216877,8791.9
Fort Wayne,Indiana,99.9,265974,41.0799898,-85.1386015,16.36778524,us,0.049706294,60482851,8891.8
Lubbock,Texas,31.1,260993,33.5634402,-101.8792389,5.195008823,us,0.015480944,60743844,8922.9
St. Petersburg,Florida,49,258201,27.7703796,-82.6695085,8.267814323,us,0.024374231,61002045,8971.9
Laredo,Texas,2,256153,27.5236998,-99.497352,0.345803288,us,0.001011372,61258198,8973.9
Irving,Texas,4,254198,32.8295183,-96.9442177,0.689924602,us,0.002002424,61512396,8977.9
Chesapeake,Virginia,43,251269,36.7183708,-76.2466798,7.449944328,us,0.02137343,61763665,9020.9
Winston-Salem,North Carolina,77.1,250320,36.0998131,-80.2440518,13.41128489,us,0.03833083,62013985,9098
Glendale,Arizona,41.1,249630,33.5386858,-112.185994,7.174207745,us,0.020448102,62263615,9139.1
Scottsdale,Arizona,59.5,242753,33.4942189,-111.9260184,10.68461969,us,0.029614606,62506368,9198.6
Garland,Texas,49.4,242035,32.912624,-96.6388833,8.893250038,us,0.024576552,62748403,9248
Boise,Idaho,108.2,237446,43.6166163,-116.200886,19.85286707,us,0.053823307,62985849,9356.2
Norfolk,Virginia,119.5,235089,36.8448348,-76.2863999,22.13901676,us,0.05942551,63220938,9475.7
Spokane,Washington,121.5,229071,47.6571934,-117.42351,23.09928706,us,0.060415861,63450009,9597.2
Fremont,California,100.6,227514,37.5482697,-121.988571,19.25684467,us,0.050023668,63677523,9697.8
Richmond,Virginia,91.1,226604,37.5385087,-77.43428,17.51470687,us,0.045316121,63904127,9788.9
Santa Clarita,California,11.7,224593,34.3916641,-118.542586,2.273455079,us,0.005829951,64128720,9800.6
San Bernardino,California,0,222203,34.8253019,-116.0833144,0,us,0,64350923,9800.6
Baton Rouge,Louisiana,4.6,222185,30.4507936,-91.1391153,0.89361821,us,0.002266987,64573108,9805.2
Hialeah,Florida,22.4,220490,25.8575963,-80.2781057,4.435142881,us,0.011165516,64793598,9827.6
Tacoma,Washington,54,219205,47.2495798,-122.439874,10.73253216,us,0.026861789,65012803,9881.6
Modesto,California,19.7,218771,37.6390972,-120.9968782,3.924399709,us,0.00980269,65231574,9901.3
Port St. Lucie,Florida,0,217523,27.2939333,-80.3503283,0,us,0,65449097,9901.3
Huntsville,Alabama,163.4,216963,34.729847,-86.5859011,32.81140018,us,0.08128169,65666060,10064.7
Des Moines,Iowa,114.8,212031,41.5910323,-93.6046655,23.58650907,us,0.05710121,65878091,10179.5
Moreno Valley,California,6.6,211600,33.937517,-117.2305944,1.36614184,us,0.003300606,66089691,10186.1
Fontana,California,43.5,210761,34.0922335,-117.435048,8.988800639,us,0.021630885,66300452,10229.6
Frisco,Texas,70.4,210719,33.1506744,-96.8236116,14.55799802,us,0.035025765,66511171,10300
Rochester,New York,118.6,210606,43.157285,-77.615214,24.52670175,us,0.058978289,66721777,10418.6
Yonkers,New York,17.1,209530,40.9312099,-73.8987469,3.556669535,us,0.008508872,66931307,10435.7
Fayetteville,North Carolina,3.5,208778,35.0525759,-78.878292,0.726530873,us,0.001731893,67140085,10439.2
Worcester,Massachusetts,144.4,205918,42.2625621,-71.8018877,30.54083162,us,0.071805457,67346003,10583.6
Columbus,Georgia,48.4,205617,32.4610708,-84.9880449,10.26158255,us,0.024091045,67551620,10632
Cape Coral,Florida,32.3,204510,26.6059432,-81.9806771,6.869890242,us,0.016041561,67756130,10664.3
McKinney,Texas,24.8,202690,33.1976496,-96.6154471,5.327281334,us,0.012328784,67958820,10689.1
Little Rock,Arkansas,151.5,201998,34.7465071,-92.2896267,32.67780849,us,0.075367182,68160818,10840.6
Oxnard,California,21.1,201879,34.1976308,-119.1803818,4.553308771,us,0.010495437,68362697,10861.7
Amarillo,Texas,57.6,201234,35.2072185,-101.833824,12.46718879,us,0.028645221,68563931,10919.3
Augusta,Georgia,55.7,201196,33.4709714,-81.9748429,12.06716604,us,0.027720874,68765127,10975
Salt Lake City,Utah,116.2,200478,40.7596198,-111.886797,25.24772659,us,0.057792473,68965605,11091.2
Montgomery,Alabama,34.8,198665,32.3669656,-86.3006485,7.633143642,us,0.017314385,69164270,11126
Birmingham,Alabama,256,197575,33.5206824,-86.8024326,56.44709564,us,0.127337369,69361845,11382
Grand Rapids,Michigan,131,197416,42.9632405,-85.6678639,28.90704931,us,0.065158097,69559261,11513
Grand Prairie,Texas,41.4,197347,32.7459645,-96.9977846,9.139112873,us,0.020592869,69756608,11554.4
Overland Park,Kansas,17,197106,38.9742502,-94.6851702,3.754609009,us,0.008449808,69953714,11571.4
Tallahassee,Florida,63,197102,30.4380832,-84.2809332,13.93106511,us,0.03135145,70150816,11634.4
Huntington Beach,California,39.8,196652,33.6783336,-118.0000166,8.815322354,us,0.019793329,70347468,11674.2
Sioux Falls,South Dakota,90.2,196528,43.5488256,-96.7307737,19.99664129,us,0.044870796,70543996,11764.4
Peoria,Arizona,12.3,194917,33.5806115,-112.237294,2.755368993,us,0.006132136,70738913,11776.7
Knoxville,Tennessee,29.2,192648,35.9603948,-83.9210261,6.602547395,us,0.014523066,70931561,11805.9
Glendale,California,68.5,192366,34.1469416,-118.2478471,15.50008573,us,0.034044323,71123927,11874.4
Vancouver,Washington,48.3,192169,45.6306954,-122.6744557,10.95147102,us,0.024029131,71316096,11922.7
Providence,Rhode Island,166.1,189692,41.8239891,-71.4128343,38.13168097,us,0.082588057,71505788,12088.8
Akron,Ohio,197.8,189347,41.083064,-81.518485,45.5133844,us,0.098396543,71695135,12286.6
Brownsville,Texas,21.8,187831,25.9140277,-97.4890879,5.044157982,us,0.010817782,71882966,12308.4
Mobile,Alabama,41.4,184952,30.6867339,-88.0848929,9.740652526,us,0.020569767,72067918,12349.8
Newport News,Virginia,68.4,184587,36.9775016,-76.42977,16.14136128,us,0.034019157,72252505,12418.2
Tempe,Arizona,76.2,184118,33.4255117,-111.9400164,18.02402569,us,0.037890499,72436623,12494.4
Shreveport,Louisiana,51.2,184021,32.4707862,-93.7559378,12.11452705,us,0.025454005,72620644,12545.6
Chattanooga,Tennessee,230.5,182113,35.0457219,-85.3094883,55.13589917,us,0.114645679,72802757,12776.1
Fort Lauderdale,Florida,63.8,181668,26.1223084,-80.1433786,15.29010492,us,0.031715472,72984425,12839.9
Aurora,Illinois,52,179266,41.7571701,-88.3147539,12.64180268,us,0.025875528,73163691,12891.9
Elk Grove,California,4.3,178997,38.4087993,-121.3716178,1.058552218,us,0.002163417,73342688,12896.2
Ontario,California,15.1,177963,34.065846,-117.6484304,3.684522684,us,0.007486748,73520651,12911.3
Salem,Oregon,86.3,177723,44.9391565,-123.033121,21.15369295,us,0.042925179,73698374,12997.6
Cary,North Carolina,36.3,176987,35.7882893,-78.7812081,8.930875504,us,0.018047526,73875361,13033.9
Santa Rosa,California,78.2,176938,38.4404925,-122.7141049,19.24394811,us,0.038877432,74052299,13112.1
Rancho Cucamonga,California,86.8,175142,34.1033192,-117.5751735,21.59285377,us,0.043179999,74227441,13198.9
Eugene,Oregon,147.9,175096,44.0505054,-123.0950506,36.78356118,us,0.073538079,74402537,13346.8
Oceanside,California,34.3,172982,33.1958696,-117.3794834,8.645167032,us,0.017074838,74575519,13381.1
Clarksville,Tennessee,105.3,170957,36.5277607,-87.3588703,26.82725927,us,0.052365527,74746476,13486.4
Garden Grove,California,2.2,170488,33.7746292,-117.9463717,0.551066959,us,0.001072705,74916964,13488.6
Lancaster,California,55.6,170150,34.6981064,-118.1366153,14.22212503,us,0.027629863,75087114,13544.2
Springfield,Missouri,87.4,169724,37.1968298,-93.2946576,22.41860988,us,0.043444442,75256838,13631.6
Pembroke Pines,Florida,21.3,169391,26.0031465,-80.223937,5.470374302,us,0.010580097,75426229,13652.9
Fort Collins,Colorado,60.8,168538,40.5508527,-105.0668085,15.72628982,us,0.030262611,75594767,13713.7
Palmdale,California,16.5,165761,34.5793131,-118.1171108,4.324042636,us,0.008183792,75760528,13730.2
Salinas,California,69.3,162791,36.6744117,-121.6550372,18.54962439,us,0.034478455,75923319,13799.5
Hayward,California,34.8,159827,37.6688205,-122.080796,9.471870188,us,0.017284952,76083146,13834.3
Corona,California,19,159743,33.8752945,-117.5664449,5.194635078,us,0.009474562,76242889,13853.3
Paterson,New Jersey,47.9,157794,40.9167654,-74.171811,13.23484199,us,0.023844682,76400683,13901.2
Murfreesboro,Tennessee,143.3,157519,35.8460396,-86.3921096,39.61513991,us,0.071248614,76558202,14044.5
Macon,Georgia,12,156762,32.8406946,-83.6324022,3.339696532,us,0.005977645,76714964,14056.5
Lakewood,Colorado,109.1,156605,39.7085736,-105.0846694,30.33786595,us,0.054246651,76871569,14165.6
Killeen,Texas,23.9,156261,31.1171441,-97.727796,6.671930665,us,0.011903767,77027830,14189.5
Springfield,Massachusetts,107.7,154789,42.1018764,-72.5886727,30.31635326,us,0.053579584,77182619,14297.2
Alexandria,Virginia,63.7,154706,38.8051095,-77.0470229,17.92983142,us,0.031671282,77337325,14360.9
Kansas City,Kansas,95.4,154545,39.1134562,-94.626497,26.88331806,us,0.047437316,77491870,14456.3
Sunnyvale,California,63.5,152258,37.3688301,-122.036349,18.15536251,us,0.031562204,77644128,14519.8
Hollywood,Florida,15.4,152131,26.0112014,-80.1494901,4.40473953,us,0.007651036,77796259,14535.2
Roseville,California,56.8,151901,38.7521235,-121.2880059,16.30128295,us,0.028272532,77948160,14592
Charleston,South Carolina,34.3,151612,32.7884363,-79.9399309,9.844827851,us,0.017042134,78099772,14626.3
Escondido,California,59.2,150665,33.1216751,-117.0814849,17.10971567,us,0.029433198,78250437,14685.5
Joliet,Illinois,63.9,150372,41.5263603,-88.0840212,18.52093202,us,0.0317989,78400809,14749.4
Berlin,Germany,27.8,3677472,52.5170365,13.3888599,0.328947123,eu,0.013812038,3677472,27.8
Madrid,Spain,4.9,3305408,40.4167047,-3.7035825,0.064528207,eu,0.002435325,6982880,32.7
Rome,Italy,20.5,2761632,41.8933203,12.4829321,0.322880377,eu,0.010180984,9744512,53.2
Paris,France,6.9,2139907,48.8588897,2.320041022,0.139598708,eu,0.003410818,11884419,60.1
Vienna,Austria,17.4,1982442,48.2083537,16.3725042,0.383353809,eu,0.008677259,13866861,77.5
Warsaw,Poland,112,1863056,52.2319581,21.0067249,2.618770335,eu,0.055706466,15729917,189.5
Hamburg,Germany,44.2,1853935,53.550341,10.000654,1.038338906,eu,0.021979404,17583852,233.7
Bucharest,Romania,38.9,1716983,44.4361414,26.1027202,0.987560083,eu,0.019360288,19300835,272.6
Budapest,Hungary,18.5,1706851,47.4979937,19.0403594,0.471680097,eu,0.009192327,21007686,291.1
Barcelona,Spain,16.1,1636732,41.3828939,2.1774322,0.429418087,eu,0.00802491,22644418,307.2
Munich,Germany,13.5,1487708,48.1371079,11.5753822,0.394196158,eu,0.006695953,24132126,320.7
Milan,Italy,8.9,1371498,45.4641943,9.1896346,0.282845676,eu,0.004429217,25503624,329.6
Sofia,Bulgaria,40.8,1307439,42.6977028,23.3217359,1.359646006,eu,0.020296893,26811063,370.4
Prague,Czech Republic,18.9,1275406,50.0874654,14.4212535,0.645578414,eu,0.009401123,28086469,389.3
Cologne,Germany,47.3,1073096,50.938361,6.959974,1.919813369,eu,0.023522305,29159565,436.6
Stockholm,Sweden,13.8,978770,59.3251172,18.0710935,0.614222101,eu,0.006864175,30138335,450.4
Amsterdam,Netherlands,8.8,921402,52.3730796,4.8924534,0.415247156,eu,0.004368558,31059737,459.2
Naples,Italy,13.6,914758,40.8358846,14.2487679,0.648784103,eu,0.006776239,31974495,472.8
Marseille,France,9.1,870731,43.2961743,5.3699525,0.454162016,eu,0.004515201,32845226,481.9
Turin,Italy,13.6,848885,45.0677551,7.6824892,0.698566843,eu,0.006770786,33694111,495.5
Kraków,Poland,48.2,802583,50.0619474,19.9368564,2.615247092,eu,0.023965416,34496694,543.7
Valencia,Spain,14.2,789744,39.4697065,-0.3763353,0.783824321,eu,0.00706785,35286438,557.9
Zagreb,Croatia,3.3,769944,45.84264135,15.96223148,0.189479424,eu,0.001665726,36056382,561.2
Frankfurt am Main,Germany,8.7,759224,50.1106444,8.6820917,0.498142021,eu,0.004318226,36815606,569.9
Seville,Spain,20.5,684234,37.3886303,-5.9953403,1.306898959,eu,0.010210075,37499840,590.4
Zaragoza,Spain,25.4,675301,41.6521342,-0.8809428,1.639421196,eu,0.012640674,38175141,615.8
Wrocław,Poland,66.9,674312,51.1089776,17.0326689,4.321934992,eu,0.033275256,38849453,682.7
Łódź,Poland,151.8,664860,51.7687323,19.4569911,9.943420744,eu,0.075482853,39514313,834.5
Rotterdam,Netherlands,17.4,663945,51.9244424,4.47775,1.139767187,eu,0.008640334,40178258,851.9
Helsinki,Finland,27,658864,60.1674881,24.9427473,1.785003743,eu,0.013428181,40837122,878.9
Copenhagen,Denmark,30.6,644431,55.6867243,12.5700724,2.066857856,eu,0.015207902,41481553,909.5
Athens,Greece,11.9,637798,37.9839412,23.7283052,0.813387894,eu,0.005923292,42119351,921.4
Palermo,Italy,49.4,630828,38.1112268,13.3524434,3.414615095,eu,0.02459433,42750179,970.8
Stuttgart,Germany,12.7,626275,48.7784485,9.1800132,0.885926956,eu,0.00633498,43376454,983.5
Düsseldorf,Germany,21.4,619477,51.2254018,6.7763137,1.506280585,eu,0.010654016,43995931,1004.9
Riga,Latvia,63.3,611824,56.9493977,24.1051846,4.509349713,eu,0.031500882,44607755,1068.2
Leipzig,Germany,64.8,601866,51.3406321,12.3747329,4.6919219,eu,0.032242809,45209621,1133
Dublin,Ireland,31.6,588233,53.3498006,-6.2602964,2.337479047,eu,0.015699268,45797854,1164.6
Gothenburg,Sweden,47.2,587549,57.7072326,11.9670171,3.499051027,eu,0.023473435,46385403,1211.8
Dortmund,Germany,72.2,586852,51.5142273,7.4652789,5.357571157,eu,0.035898708,46972255,1284
Vilnius,Lithuania,56.5,581475,54.6870458,25.2829111,4.232537426,eu,0.028100506,47553730,1340.5
Essen,Germany,82.1,579432,51.4582235,7.0158171,6.169337996,eu,0.040815331,48133162,1422.6
Málaga,Spain,44.9,577405,36.7213028,-4.4216366,3.3844361,eu,0.022312547,48710567,1467.5
Bremen,Germany,57.4,563290,53.0758196,8.8071646,4.440062587,eu,0.028556397,49273857,1524.9
The Hague,Netherlands,21.6,562501,52.0799838,4.3113461,1.674636973,eu,0.010755392,49836358,1546.5
Genoa,Italy,26.3,560688,44.40726,8.9338624,2.039624655,eu,0.013057312,50397046,1572.8
Dresden,Germany,86.8,555351,51.0493286,13.7381437,6.81017932,eu,0.04318256,50952397,1659.6
Lisbon,Portugal,20.5,545923,38.7077507,-9.1365919,1.635048155,eu,0.010191643,51498320,1680.1
Poznań,Poland,83.8,545073,52.4006632,16.91973259,6.694969318,eu,0.041666358,52043393,1763.9
Antwerp,Belgium,16.9,536079,51.2211097,4.3997081,1.375272004,eu,0.008417821,52579472,1780.8
Hanover,Germany,45.4,535932,52.3744779,9.7385532,3.693958903,eu,0.022603934,53115404,1826.2
Lyon,France,16.3,522969,45.7578137,4.8320114,1.357203935,eu,0.008104073,53638373,1842.5
Nuremberg,Germany,30.4,510632,49.453872,11.077298,2.592829136,eu,0.015116951,54149005,1872.9
Duisburg,Germany,74.8,495152,51.434999,6.759562,6.581195127,eu,0.03720708,54644157,1947.7
Toulouse,France,19.9,493465,43.6044622,1.4442469,1.759265319,eu,0.009912198,55137622,1967.6
Gdańsk,Poland,41.9,486271,54.3706858,18.6129821,3.750238103,eu,0.020821859,55623893,2009.5
Bratislava,Slovakia,42.7,475044,48.1516988,17.1093063,3.914851695,eu,0.021233981,56098937,2052.2
Murcia,Spain,32.3,460349,37.9923795,-1.1305431,3.056920343,eu,0.016067696,56559286,2084.5
Tallinn,Estonia,149,437811,59.4372155,24.7453688,14.82875996,eu,0.07412655,56997097,2233.5
Palma de Mallorca,Spain,12.3,419366,39.5695818,2.6500745,1.273380502,eu,0.006097246,57416463,2245.8
Szczecin,Poland,80.5,394482,53.4301818,14.5509623,8.88654918,eu,0.04002604,57810945,2326.3
Bologna,Italy,27,392203,44.4938203,11.3426327,2.997359105,eu,0.013422455,58203148,2353.3
Iași,Romania,36.4,391024,47.1615416,27.5837224,4.05025695,eu,0.018082908,58594172,2389.7
Sintra,Portugal,12.4,385654,38.83554455,-9.352237113,1.397352992,eu,0.006152991,58979826,2402.1
Brno,Czech Republic,57.3,379466,49.1922443,16.6113382,6.576027662,eu,0.028491728,59359292,2459.4
Las Palmas,Spain,21,378675,28.1288694,-15.4349015,2.418654603,eu,0.010457377,59737967,2480.4
Florence,Italy,7.2,367150,43.7698712,11.2555757,0.855132635,eu,0.003584753,60105117,2487.6
Bochum,Germany,68.6,363441,51.4818111,7.2196635,8.223257405,eu,0.034124012,60468558,2556.2
Utrecht,Netherlands,34.6,367781,52.0809856,5.127683969,4.099219577,eu,0.017213641,60836339,2590.8
Aarhus,Denmark,33,355238,56.1496278,10.2134046,4.048192412,eu,0.01641961,61191577,2623.8
Wuppertal,Germany,32.8,354572,51.264018,7.1780374,4.031319111,eu,0.016320516,61546149,2656.6
Malmö,Sweden,39,351749,55.6052931,13.0001566,4.827309932,eu,0.019387434,61897898,2695.6
Bilbao,Spain,13.7,346405,43.2630018,-2.9350039,1.722094102,eu,0.006811195,62244303,2709.3
Plovdiv,Bulgaria,22.4,343070,42.1418541,24.7499297,2.841980011,eu,0.011132329,62587373,2731.7
Nice,France,11.9,342669,43.7009358,7.2683912,1.513752958,eu,0.005922596,62930042,2743.6
Varna,Bulgaria,27.7,341737,43.2073873,27.9166653,3.530407449,eu,0.013775238,63271779,2771.3
Alicante,Spain,25.7,337304,38.3436365,-0.4881708,3.323375297,eu,0.01279921,63609083,2797
Bydgoszcz,Poland,73.9,334026,53.1219648,18.0002529,9.634201218,eu,0.036743309,63943109,2870.9
Bielefeld,Germany,79.7,334002,52.0191005,8.531007,10.39963746,eu,0.039659711,64277111,2950.6
Lublin,Poland,72.3,332852,51.250559,22.5701022,9.461343188,eu,0.035957232,64609963,3022.9
Bonn,Germany,39.1,331885,50.735851,7.10066,5.136081265,eu,0.019462642,64941848,3062
Cluj-Napoca,Romania,20.9,328316,46.769379,23.5899542,2.777914267,eu,0.010413415,65270164,3082.9
Córdoba,Spain,30.5,322071,37.8845813,-4.7760138,4.122610621,eu,0.015160245,65592235,3113.4
Nantes,France,32.3,318808,47.2186371,-1.5541362,4.411025992,eu,0.016056508,65911043,3145.7
Timișoara,Romania,61.5,318296,45.7538355,21.2257474,8.419224248,eu,0.030597472,66229339,3207.2
Thessaloniki,Greece,12.1,317778,40.6403167,22.9352716,1.655673006,eu,0.006007319,66547117,3219.3
Münster,Germany,52.4,317713,51.9625101,7.6251879,7.190109109,eu,0.026082712,66864830,3271.7
Bari,Italy,37.2,316140,41.1257843,16.8620293,5.12600251,eu,0.018502932,67180970,3308.9
Mannheim,Germany,29.1,311831,49.4892913,8.4673098,4.058937871,eu,0.014451535,67492801,3338
