city,subregion,parking,population,lat,lon,region,cumulative_population,cumulative_parking
Amarillo,Texas,57.1,201234,35.2072185,-101.833824,us,68563931,11110.7
Augusta,Georgia,55.7,201196,33.4709714,-81.9748429,us,68765127,11166.4
Salt Lake City,Utah,115.2,200478,40.7596198,-111.886797,us,68965605,11281.6
Montgomery,Alabama,34.8,198665,32.3669656,-86.3006485,us,69164270,11316.4
Birmingham,Alabama,260.7,197575,33.5206824,-86.8024326,us,69361845,11577.1
Grand Rapids,Michigan,133.9,197416,42.9632405,-85.6678639,us,69559261,11711.0
Grand Prairie,Texas,41.4,197347,32.7459645,-96.9977846,us,69756608,11752.4
Overland Park,Kansas,17.0,197106,38.9742502,-94.6851702,us,69953714,11769.4
Tallahassee,Florida,62.5,197102,30.4380832,-84.2809332,us,70150816,11831.9
Huntington Beach,California,39.8,196652,33.6783336,-118.0000166,us,70347468,11871.7
Sioux Falls,South Dakota,90.2,196528,43.5488256,-96.7307737,us,70543996,11962.0
Peoria,Arizona,12.3,194917,33.5806115,-112.237294,us,70738913,11974.3
Knoxville,Tennessee,29.1,192648,35.9603948,-83.9210261,us,70931561,12003.3
Glendale,California,68.5,192366,34.1469416,-118.2478471,us,71123927,12071.8
Vancouver,Washington,49.0,192169,45.6306954,-122.6744557,us,71316096,12120.8
Providence,Rhode Island,166.7,189692,41.8239891,-71.4128343,us,71505788,12287.5
Akron,Ohio,228.6,189347,41.083064,-81.518485,us,71695135,12516.1
Brownsville,Texas,21.8,187831,25.9140277,-97.4890879,us,71882966,12537.8
Mobile,Alabama,41.4,184952,30.6867339,-88.0848929,us,72067918,12579.2
Newport News,Virginia,68.4,184587,36.9775016,-76.42977,us,72252505,12647.6
Tempe,Arizona,75.0,184118,33.4255117,-111.9400164,us,72436623,12722.6
Shreveport,Louisiana,51.3,184021,32.4707862,-93.7559378,us,72620644,12773.9
Chattanooga,Tennessee,232.4,182113,35.0457219,-85.3094883,us,72802757,13006.4
Fort Lauderdale,Florida,63.8,181668,26.1223084,-80.1433786,us,72984425,13070.1
Aurora,Illinois,52.2,179266,41.7571701,-88.3147539,us,73163691,13122.3
Elk Grove,California,4.3,178997,38.4087993,-121.3716178,us,73342688,13126.7
Ontario,California,15.1,177963,34.065846,-117.6484304,us,73520651,13141.7
Salem,Oregon,86.3,177723,44.9391565,-123.033121,us,73698374,13228.0
Cary,North Carolina,36.3,176987,35.7882893,-78.7812081,us,73875361,13264.3
Santa Rosa,California,78.3,176938,38.4404925,-122.7141049,us,74052299,13342.6
Rancho Cucamonga,California,86.8,175142,34.1033192,-117.5751735,us,74227441,13429.5
Eugene,Oregon,150.3,175096,44.0505054,-123.0950506,us,74402537,13579.7
Oceanside,California,34.3,172982,33.1958696,-117.3794834,us,74575519,13614.1
Clarksville,Tennessee,105.3,170957,36.5277607,-87.3588703,us,74746476,13719.4
Garden Grove,California,2.2,170488,33.7746292,-117.9463717,us,74916964,13721.5
Lancaster,California,55.6,170150,34.6981064,-118.1366153,us,75087114,13777.1
Springfield,Missouri,87.4,169724,37.1968298,-93.2946576,us,75256838,13864.4
Pembroke Pines,Florida,21.3,169391,26.0031465,-80.223937,us,75426229,13885.7
Fort Collins,Colorado,60.8,168538,40.5508527,-105.0668085,us,75594767,13946.5
Palmdale,California,16.5,165761,34.5793131,-118.1171108,us,75760528,13963.0
Salinas,California,69.3,162791,36.6744117,-121.6550372,us,75923319,14032.3
Hayward,California,34.8,159827,37.6688205,-122.080796,us,76083146,14067.1
Corona,California,19.0,159743,33.8752945,-117.5664449,us,76242889,14086.1
Paterson,New Jersey,48.8,157794,40.9167654,-74.171811,us,76400683,14134.9
Murfreesboro,Tennessee,143.0,157519,35.8460396,-86.3921096,us,76558202,14277.9
Macon,Georgia,12.0,156762,32.8406946,-83.6324022,us,76714964,14289.9
Lakewood,Colorado,109.1,156605,39.7085736,-105.0846694,us,76871569,14399.0
Killeen,Texas,23.9,156261,31.1171441,-97.727796,us,77027830,14422.9
Springfield,Massachusetts,107.7,154789,42.1018764,-72.5886727,us,77182619,14530.7
Alexandria,Virginia,64.5,154706,38.8051095,-77.0470229,us,77337325,14595.2
Kansas City,Kansas,95.4,154545,39.1134562,-94.626497,us,77491870,14690.6
Sunnyvale,California,63.8,152258,37.3688301,-122.036349,us,77644128,14754.3
Hollywood,Florida,15.4,152131,26.0112014,-80.1494901,us,77796259,14769.7
Roseville,California,56.8,151901,38.7521235,-121.2880059,us,77948160,14826.6
Charleston,South Carolina,34.3,151612,32.7884363,-79.9399309,us,78099772,14860.8
Escondido,California,60.5,150665,33.1216751,-117.0814849,us,78250437,14921.3
Joliet,Illinois,63.9,150372,41.5263603,-88.0840212,us,78400809,14985.2
Berlin,Germany,27.7,3677472,52.5170365,13.3888599,eu,3677472,27.7
Madrid,Spain,4.9,3305408,40.4167047,-3.7035825,eu,6982880,32.6
Rome,Italy,20.5,2761632,41.8933203,12.4829321,eu,9744512,53.1
Paris,France,2.4,2139907,48.8538,2.3485,eu,11884419,55.4
Vienna,Austria,17.4,1982442,48.2083537,16.3725042,eu,13866861,72.9
Warsaw,Poland,112.3,1863056,52.2319581,21.0067249,eu,15729917,185.2
Hamburg,Germany,44.3,1853935,53.550341,10.000654,eu,17583852,229.4
Bucharest,Romania,38.9,1716983,44.4361414,26.1027202,eu,19300835,268.3
Budapest,Hungary,44.6,1706851,47.48138955,19.14609413,eu,21007686,313.0
Barcelona,Spain,16.1,1636732,41.3828939,2.1774322,eu,22644418,329.1
Munich,Germany,13.5,1487708,48.1371079,11.5753822,eu,24132126,342.6
Milan,Italy,8.9,1371498,45.4641943,9.1896346,eu,25503624,351.5
Sofia,Bulgaria,40.8,1307439,42.6977028,23.3217359,eu,26811063,392.3
Prague,Czech Republic,18.9,1275406,50.0874654,14.4212535,eu,28086469,411.2
Cologne,Germany,47.5,1073096,50.938361,6.959974,eu,29159565,458.7
Stockholm,Sweden,13.8,978770,59.3251172,18.0710935,eu,30138335,472.5
Amsterdam,Netherlands,8.8,921402,52.3730796,4.8924534,eu,31059737,481.3
Naples,Italy,13.6,914758,40.8358846,14.2487679,eu,31974495,494.9
Marseille,France,9.1,870731,43.2961743,5.3699525,eu,32845226,504.0
Turin,Italy,13.6,848885,45.0677551,7.6824892,eu,33694111,517.6
Kraków,Poland,48.2,802583,50.0619474,19.9368564,eu,34496694,565.8
Valencia,Spain,14.2,789744,39.4697065,-0.3763353,eu,35286438,580.0
Zagreb,Croatia,48.5,769944,45.8131847,15.9771774,eu,36056382,628.5
Frankfurt am Main,Germany,8.8,759224,50.1106444,8.6820917,eu,36815606,637.3
Seville,Spain,20.5,684234,37.3886303,-5.9953403,eu,37499840,657.8
Zaragoza,Spain,25.4,675301,41.6521342,-0.8809428,eu,38175141,683.2
Wrocław,Poland,66.9,674312,51.1089776,17.0326689,eu,38849453,750.1
Łódź,Poland,151.8,664860,51.7687323,19.4569911,eu,39514313,901.9
Rotterdam,Netherlands,17.5,663945,51.9244424,4.47775,eu,40178258,919.4
Helsinki,Finland,27.0,658864,60.1674881,24.9427473,eu,40837122,946.4
Copenhagen,Denmark,30.3,644431,55.6867243,12.5700724,eu,41481553,976.7
Athens,Greece,11.9,637798,37.9839412,23.7283052,eu,42119351,988.7
Palermo,Italy,49.4,630828,38.1112268,13.3524434,eu,42750179,1038.1
Stuttgart,Germany,12.7,626275,48.7784485,9.1800132,eu,43376454,1050.8
Düsseldorf,Germany,21.4,619477,51.2254018,6.7763137,eu,43995931,1072.3
Riga,Latvia,63.5,611824,56.9493977,24.1051846,eu,44607755,1135.8
Leipzig,Germany,64.7,601866,51.3406321,12.3747329,eu,45209621,1200.5
Dublin,Ireland,31.6,588233,53.3498006,-6.2602964,eu,45797854,1232.1
Gothenburg,Sweden,47.2,587549,57.7072326,11.9670171,eu,46385403,1279.2
Dortmund,Germany,71.9,586852,51.5142273,7.4652789,eu,46972255,1351.1
Vilnius,Lithuania,56.6,581475,54.6870458,25.2829111,eu,47553730,1407.8
Essen,Germany,82.1,579432,51.4582235,7.0158171,eu,48133162,1489.8
Málaga,Spain,44.9,577405,36.7213028,-4.4216366,eu,48710567,1534.7
Bremen,Germany,57.4,563290,53.0758196,8.8071646,eu,49273857,1592.1
The Hague,Netherlands,21.6,562501,52.0799838,4.3113461,eu,49836358,1613.7
Genoa,Italy,26.3,560688,44.40726,8.9338624,eu,50397046,1640.0
Dresden,Germany,86.9,555351,51.0493286,13.7381437,eu,50952397,1726.8
Lisbon,Portugal,20.5,545923,38.7077507,-9.1365919,eu,51498320,1747.3
Poznań,Poland,84.0,545073,52.4006632,16.91973259,eu,52043393,1831.4
Antwerp,Belgium,16.9,536079,51.2211097,4.3997081,eu,52579472,1848.3
Hanover,Germany,44.8,535932,52.3744779,9.7385532,eu,53115404,1893.1
Lyon,France,16.3,522969,45.7578137,4.8320114,eu,53638373,1909.4
Nuremberg,Germany,30.4,510632,49.453872,11.077298,eu,54149005,1939.8
Duisburg,Germany,74.8,495152,51.434999,6.759562,eu,54644157,2014.6
Toulouse,France,19.9,493465,43.6044622,1.4442469,eu,55137622,2034.6
Gdańsk,Poland,40.8,486271,54.3481,18.6539,eu,55623893,2075.4
Bratislava,Slovakia,42.7,475044,48.1516988,17.1093063,eu,56098937,2118.1
Murcia,Spain,32.3,460349,37.9923795,-1.1305431,eu,56559286,2150.4
Tallinn,Estonia,149.0,437811,59.4372155,24.7453688,eu,56997097,2299.4
Palma de Mallorca,Spain,12.3,419366,39.5695818,2.6500745,eu,57416463,2311.7
Szczecin,Poland,80.5,394482,53.4301818,14.5509623,eu,57810945,2392.1
Bologna,Italy,80.5,392203,44.4938203,11.3426327,eu,58203148,2472.6
Iași,Romania,36.4,391024,47.1615416,27.5837224,eu,58594172,2509.0
Sintra,Portugal,19.5,385654,38.79932,-9.38532,eu,58979826,2528.5
Brno,Czech Republic,57.3,379466,49.1922443,16.6113382,eu,59359292,2585.8
Las Palmas,Spain,21.0,378675,28.1288694,-15.4349015,eu,59737967,2606.8
Florence,Italy,7.2,367150,43.7698712,11.2555757,eu,60105117,2614.0
Bochum,Germany,68.6,363441,51.4818111,7.2196635,eu,60468558,2682.6
Utrecht,Netherlands,32.1,367781,52.0907,5.12157,eu,60836339,2714.8
Aarhus,Denmark,33.0,355238,56.1496278,10.2134046,eu,61191577,2747.8
Wuppertal,Germany,32.8,354572,51.264018,7.1780374,eu,61546149,2780.6
Malmö,Sweden,39.0,351749,55.6052931,13.0001566,eu,61897898,2819.6
Bilbao,Spain,13.7,346405,43.2630018,-2.9350039,eu,62244303,2833.3
Plovdiv,Bulgaria,22.4,343070,42.1418541,24.7499297,eu,62587373,2855.6
Nice,France,11.9,342669,43.7009358,7.2683912,eu,62930042,2867.6
Varna,Bulgaria,27.7,341737,43.2073873,27.9166653,eu,63271779,2895.2
Alicante,Spain,25.7,337304,38.3436365,-0.4881708,eu,63609083,2921.0
Bydgoszcz,Poland,74.1,334026,53.1219648,18.0002529,eu,63943109,2995.1
Bielefeld,Germany,79.7,334002,52.0191005,8.531007,eu,64277111,3074.8
Lublin,Poland,72.3,332852,51.250559,22.5701022,eu,64609963,3147.1
Bonn,Germany,39.1,331885,50.735851,7.10066,eu,64941848,3186.3
Cluj-Napoca,Romania,21.0,328316,46.769379,23.5899542,eu,65270164,3207.3
Córdoba,Spain,30.5,322071,37.8845813,-4.7760138,eu,65592235,3237.7
Nantes,France,32.4,318808,47.2186371,-1.5541362,eu,65911043,3270.1
Timișoara,Romania,61.5,318296,45.7538355,21.2257474,eu,66229339,3331.6
Thessaloniki,Greece,12.1,317778,40.6403167,22.9352716,eu,66547117,3343.7
Münster,Germany,52.6,317713,51.9625101,7.6251879,eu,66864830,3396.3
Bari,Italy,37.2,316140,41.1257843,16.8620293,eu,67180970,3433.5
Mannheim,Germany,29.1,311831,49.4892913,8.4673098,eu,67492801,3462.6
Constanța,Romania,24.2,306607,44.1767161,28.6507598,eu,67799408,3486.8
Karlsruhe,Germany,43.3,306502,49.0068705,8.4034195,eu,68105910,3530.2
Kaunas,Lithuania,43.6,305120,54.8982139,23.9044817,eu,68411030,3573.7
Galați,Romania,7.7,304957,45.4338215,28.0549395,eu,68715987,3581.5
Vila Nova de Gaia,Portugal,24.7,303854,41.1300103,-8.6058415,eu,69019841,3606.1
