city,subregion,groceries,population,lat,lon,region,cumulative_population,cumulative_groceries
Poznań,Poland,84,545073,52.4006632,16.91973259,EU,52043393,7691
Antwerp,Belgium,103,536079,51.2211097,4.3997081,EU,52579472,7794
Hanover,Germany,99,535932,52.3744779,9.7385532,EU,53115404,7893
Lyon,France,172,522969,45.7578137,4.8320114,EU,53638373,8065
Nuremberg,Germany,127,510632,49.453872,11.077298,EU,54149005,8192
Duisburg,Germany,44,495152,51.434999,6.759562,EU,54644157,8236
Toulouse,France,94,493465,43.6044622,1.4442469,EU,55137622,8330
Gdańsk,Poland,30,486271,54.3481,18.6539,EU,55623893,8360
Bratislava,Slovakia,75,475044,48.1516988,17.1093063,EU,56098937,8435
Murcia,Spain,61,460349,37.9923795,-1.1305431,EU,56559286,8496
Tallinn,Estonia,64,437811,59.4372155,24.7453688,EU,56997097,8560
Palma de Mallorca,Spain,105,419366,39.5695818,2.6500745,EU,57416463,8665
Szczecin,Poland,108,394482,53.4301818,14.5509623,EU,57810945,8773
Bologna,Italy,80,392203,44.4938203,11.3426327,EU,58203148,8853
Iași,Romania,103,391024,47.1615416,27.5837224,EU,58594172,8956
Sintra,Portugal,12,385654,38.79932,-9.38532,EU,58979826,8968
Brno,Czech Republic,70,379466,49.1922443,16.6113382,EU,59359292,9038
Las Palmas,Spain,102,378675,28.1288694,-15.4349015,EU,59737967,9140
Florence,Italy,78,367150,43.7698712,11.2555757,EU,60105117,9218
Bochum,Germany,52,363441,51.4818111,7.2196635,EU,60468558,9270
Utrecht,Netherlands,80,367781,52.0907,5.12157,EU,60836339,9350
Aarhus,Denmark,47,355238,56.1496278,10.2134046,EU,61191577,9397
Wuppertal,Germany,69,354572,51.264018,7.1780374,EU,61546149,9466
Malmö,Sweden,55,351749,55.6052931,13.0001566,EU,61897898,9521
Bilbao,Spain,184,346405,43.2630018,-2.9350039,EU,62244303,9705
Plovdiv,Bulgaria,116,343070,42.1418541,24.7499297,EU,62587373,9821
Nice,France,112,342669,43.7009358,7.2683912,EU,62930042,9933
Varna,Bulgaria,146,341737,43.2073873,27.9166653,EU,63271779,10079
Alicante,Spain,72,337304,38.3436365,-0.4881708,EU,63609083,10151
Bydgoszcz,Poland,78,334026,53.1219648,18.0002529,EU,63943109,10229
Bielefeld,Germany,45,334002,52.0191005,8.531007,EU,64277111,10274
Lublin,Poland,69,332852,51.250559,22.5701022,EU,64609963,10343
Bonn,Germany,77,331885,50.735851,7.10066,EU,64941848,10420
Cluj-Napoca,Romania,117,328316,46.769379,23.5899542,EU,65270164,10537
Córdoba,Spain,86,322071,37.8845813,-4.7760138,EU,65592235,10623
Nantes,France,67,318808,47.2186371,-1.5541362,EU,65911043,10690
Timișoara,Romania,121,318296,45.7538355,21.2257474,EU,66229339,10811
Thessaloniki,Greece,132,317778,40.6403167,22.9352716,EU,66547117,10943
Münster,Germany,61,317713,51.9625101,7.6251879,EU,66864830,11004
Bari,Italy,70,316140,41.1257843,16.8620293,EU,67180970,11074
Mannheim,Germany,74,311831,49.4892913,8.4673098,EU,67492801,11148
Constanța,Romania,70,306607,44.1767161,28.6507598,EU,67799408,11218
Karlsruhe,Germany,62,306502,49.0068705,8.4034195,EU,68105910,11280
Kaunas,Lithuania,41,305120,54.8982139,23.9044817,EU,68411030,11321
Galați,Romania,44,304957,45.4338215,28.0549395,EU,68715987,11365
Vila Nova de Gaia,Portugal,112,303854,41.1300103,-8.6058415,EU,69019841,11477
