city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region
Lubbock,Texas,0,260993,33.5634402,-101.8792389,0.0,us
St. Petersburg,Florida,26.7,258201,27.7703796,-82.6695085,0.5466503743153708,us
Laredo,Texas,13.9,256153,27.5236998,-99.497352,0.2865147835336252,us
Irving,Texas,21.8,254198,32.8295183,-96.9442177,0.45219850351847496,us
Chesapeake,Virginia,0,251269,36.7183708,-76.2466798,0.0,us
Winston-Salem,North Carolina,25.7,250320,36.0998131,-80.2440518,0.542417165108324,us
Glendale,Arizona,0,249630,33.5386858,-112.185994,0.0,us
Scottsdale,Arizona,0,242753,33.4942189,-111.9260184,0.0,us
Garland,Texas,0,242035,32.912624,-96.6388833,0.0,us
Boise,Idaho,4.6,237446,43.6166163,-116.200886,0.10180211407625099,us
Norfolk,Virginia,21.4,235089,36.8448348,-76.2863999,0.4799988936269234,us
Spokane,Washington,17.0,229071,47.6571934,-117.42351,0.3929449818042392,us
Fremont,California,0,227514,37.5482697,-121.988571,0.0,us
Richmond,Virginia,34.7,226604,37.5385087,-77.43428,0.8087565629785894,us
Santa Clarita,California,0,224593,34.3916641,-118.542586,0.0,us
San Bernardino,California,0,222203,34.8253019,-116.0833144,0.0,us
Baton Rouge,Louisiana,0,222185,30.4507936,-91.1391153,0.0,us
Hialeah,Florida,0,220490,25.8575963,-80.2781057,0.0,us
Tacoma,Washington,15.4,219205,47.2495798,-122.439874,0.36985637594787696,us
Modesto,California,25.4,218771,37.6390972,-120.9968782,0.612956890471155,us
Port St. Lucie,Florida,0,217523,27.2939333,-80.3503283,0.0,us
Huntsville,Alabama,35.7,216963,34.729847,-86.5859011,0.8696404585382174,us
Des Moines,Iowa,23.4,212031,41.5910323,-93.6046655,0.5826502794283062,us
Moreno Valley,California,21.6,211600,33.937517,-117.2305944,0.5386256396550059,us
Fontana,California,0,210761,34.0922335,-117.435048,0.0,us
Frisco,Texas,6.2,210719,33.1506744,-96.8236116,0.15556266554457793,us
Rochester,New York,30.4,210606,43.157285,-77.615214,0.7614516144533164,us
Yonkers,New York,1.6,209530,40.9312099,-73.8987469,0.04062384903848847,us
Fayetteville,North Carolina,8.8,208778,35.0525759,-78.878292,0.22357697179805067,us
Worcester,Massachusetts,19.4,205918,42.2625621,-71.8018877,0.49645927459070816,us
Columbus,Georgia,5.8,205617,32.4610708,-84.9880449,0.14863724609270051,us
Cape Coral,Florida,0,204510,26.6059432,-81.9806771,0.0,us
McKinney,Texas,0,202690,33.1976496,-96.6154471,0.0,us
Little Rock,Arkansas,18.7,201998,34.7465071,-92.2896267,0.48888224375526707,us
Oxnard,California,0,201879,34.1976308,-119.1803818,0.0,us
Amarillo,Texas,9.8,201234,35.2072185,-101.833824,0.2566460531942013,us
Augusta,Georgia,5.9,201196,33.4709714,-81.9748429,0.1539420759538307,us
Salt Lake City,Utah,1.7,200478,40.7596198,-111.886797,0.0451024108794523,us
Montgomery,Alabama,17.0,198665,32.3669656,-86.3006485,0.45250898382742477,us
Birmingham,Alabama,37.7,197575,33.5206824,-86.8024326,1.0075920575176496,us
Grand Rapids,Michigan,41.1,197416,42.9632405,-85.6678639,1.098094663591136,us
Grand Prairie,Texas,21.5,197347,32.7459645,-96.9977846,0.5761077820568512,us
Overland Park,Kansas,0,197106,38.9742502,-94.6851702,0.0,us
Tallahassee,Florida,0,197102,30.4380832,-84.2809332,0.0,us
Huntington Beach,California,0,196652,33.6783336,-118.0000166,0.0,us
Sioux Falls,South Dakota,0,196528,43.5488256,-96.7307737,0.0,us
Peoria,Arizona,0,194917,33.5806115,-112.237294,0.0,us
Knoxville,Tennessee,34.5,192648,35.9603948,-83.9210261,0.9447085654146846,us
Glendale,California,29.9,192366,34.1469416,-118.2478471,0.8211445733374185,us
Vancouver,Washington,25.6,192169,45.6306954,-122.6744557,0.7022770795064721,us
Providence,Rhode Island,49.1,189692,41.8239891,-71.4128343,1.366525333956584,us
Akron,Ohio,13.8,189347,41.083064,-81.518485,0.3854409231458917,us
Brownsville,Texas,20.4,187831,25.9140277,-97.4890879,0.5721363634627014,us
Mobile,Alabama,0,184952,30.6867339,-88.0848929,0.0,us
Newport News,Virginia,18.9,184587,36.9775016,-76.42977,0.5420272254523525,us
Tempe,Arizona,25.2,184118,33.4255117,-111.9400164,0.7240955386607434,us
Shreveport,Louisiana,17.3,184021,32.4707862,-93.7559378,0.4963372034159694,us
Chattanooga,Tennessee,16.2,182113,35.0457219,-85.3094883,0.46834879026330606,us
Fort Lauderdale,Florida,0,181668,26.1223084,-80.1433786,0.0,us
Aurora,Illinois,0,179266,41.7571701,-88.3147539,0.0,us
Elk Grove,California,17.4,178997,38.4087993,-121.3716178,0.5120638515731623,us
Ontario,California,0,177963,34.065846,-117.6484304,0.0,us
Salem,Oregon,0,177723,44.9391565,-123.033121,0.0,us
Cary,North Carolina,0,176987,35.7882893,-78.7812081,0.0,us
Santa Rosa,California,33.4,176938,38.4404925,-122.7141049,0.9962509722937296,us
Rancho Cucamonga,California,0,175142,34.1033192,-117.5751735,0.0,us
Eugene,Oregon,10.2,175096,44.0505054,-123.0950506,0.3060834803104601,us
Oceanside,California,21.9,172982,33.1958696,-117.3794834,0.6694395801430268,us
Clarksville,Tennessee,0,170957,36.5277607,-87.3588703,0.0,us
Garden Grove,California,21.8,170488,33.7746292,-117.9463717,0.6744504695040272,us
Lancaster,California,0,170150,34.6981064,-118.1366153,0.0,us
Springfield,Missouri,0,169724,37.1968298,-93.2946576,0.0,us
Pembroke Pines,Florida,19.0,169391,26.0031465,-80.223937,0.5920777828003557,us
Fort Collins,Colorado,0,168538,40.5508527,-105.0668085,0.0,us
Palmdale,California,7.4,165761,34.5793131,-118.1171108,0.23523854882417133,us
Salinas,California,22.9,162791,36.6744117,-121.6550372,0.7438931891514254,us
Hayward,California,0,159827,37.6688205,-122.080796,0.0,us
Corona,California,56.0,159743,33.8752945,-117.5664449,1.851141198662059,us
Paterson,New Jersey,28.6,157794,40.9167654,-74.171811,0.9575902759313811,us
Murfreesboro,Tennessee,0,157519,35.8460396,-86.3921096,0.0,us
Macon,Georgia,24.9,156762,32.8406946,-83.6324022,0.8378577024397202,us
Lakewood,Colorado,0,156605,39.7085736,-105.0846694,0.0,us
Killeen,Texas,0,156261,31.1171441,-97.727796,0.0,us
Springfield,Massachusetts,41.0,154789,42.1018764,-72.5886727,1.3971388650892265,us
Alexandria,Virginia,23.7,154706,38.8051095,-77.0470229,0.8096765543328077,us
Kansas City,Kansas,16.4,154545,39.1134562,-94.626497,0.5607804411867142,us
Sunnyvale,California,0,152258,37.3688301,-122.036349,0.0,us
Hollywood,Florida,0,152131,26.0112014,-80.1494901,0.0,us
Roseville,California,0.8,151901,38.7521235,-121.2880059,0.02834343821936508,us
Charleston,South Carolina,10.6,151612,32.7884363,-79.9399309,0.36860762246795126,us
Escondido,California,4.6,150665,33.1216751,-117.0814849,0.16047330478976057,us
Joliet,Illinois,1.2,150372,41.5263603,-88.0840212,0.04316398939787156,us
Berlin,Germany,0,3677472,52.5170365,13.3888599,0.0,eu
Madrid,Spain,1.1,3305408,40.4167047,-3.7035825,0.0017724691008732644,eu
Rome,Italy,0,2761632,41.8933203,12.4829321,0.0,eu
Paris,France,0,2139907,48.8588897,2.3200410217200766,0.0,eu
Vienna,Austria,0,1982442,48.2083537,16.3725042,0.0,eu
Warsaw,Poland,0,1863056,52.2319581,21.0067249,0.0,eu
Hamburg,Germany,0,1853935,53.550341,10.000654,0.0,eu
Bucharest,Romania,0,1716983,44.4361414,26.1027202,0.0,eu
Budapest,Hungary,0,1706851,47.4979937,19.0403594,0.0,eu
Barcelona,Spain,0,1636732,41.3828939,2.1774322,0.0,eu
Munich,Germany,0,1487708,48.1371079,11.5753822,0.0,eu
Milan,Italy,0,1371498,45.4641943,9.1896346,0.0,eu
Sofia,Bulgaria,0,1307439,42.6977028,23.3217359,0.0,eu
Prague,Czech Republic,0,1275406,50.0874654,14.4212535,0.0,eu
Cologne,Germany,1.1,1073096,50.938361,6.959974,0.005186256609934219,eu
Stockholm,Sweden,0,978770,59.3251172,18.0710935,0.0,eu
Amsterdam,Netherlands,0,921402,52.3730796,4.8924534,0.0,eu
Naples,Italy,0,914758,40.8358846,14.2487679,0.0,eu
Marseille,France,4.8,870731,43.2961743,5.3699525,0.028881309675938265,eu
Turin,Italy,0,848885,45.0677551,7.6824892,0.0,eu
Kraków,Poland,0,802583,50.0619474,19.9368564,0.0,eu
Valencia,Spain,0,789744,39.4697065,-0.3763353,0.0,eu
Zagreb,Croatia,0,769944,45.84264135,15.962231476593626,0.0,eu
Frankfurt am Main,Germany,0,759224,50.1106444,8.6820917,0.0,eu
Seville,Spain,0,684234,37.3886303,-5.9953403,0.0,eu
Zaragoza,Spain,0,675301,41.6521342,-0.8809428,0.0,eu
Wrocław,Poland,0,674312,51.1089776,17.0326689,0.0,eu
Łódź,Poland,0,664860,51.7687323,19.4569911,0.0,eu
Rotterdam,Netherlands,0,663945,51.9244424,4.47775,0.0,eu
Helsinki,Finland,0,658864,60.1674881,24.9427473,0.0,eu
Copenhagen,Denmark,0,644431,55.6867243,12.5700724,0.0,eu
Athens,Greece,0,637798,37.9839412,23.7283052,0.0,eu
Palermo,Italy,0,630828,38.1112268,13.3524434,0.0,eu
Stuttgart,Germany,0,626275,48.7784485,9.1800132,0.0,eu
Düsseldorf,Germany,0,619477,51.2254018,6.7763137,0.0,eu
Riga,Latvia,0,611824,56.9493977,24.1051846,0.0,eu
Leipzig,Germany,0,601866,51.3406321,12.3747329,0.0,eu
Dublin,Ireland,0,588233,53.3498006,-6.2602964,0.0,eu
Gothenburg,Sweden,6.4,587549,57.7072326,11.9670171,0.05708858212939171,eu
Dortmund,Germany,0,586852,51.5142273,7.4652789,0.0,eu
Vilnius,Lithuania,0,581475,54.6870458,25.2829111,0.0,eu
Essen,Germany,7.8,579432,51.4582235,7.0158171,0.07069994222977433,eu
Málaga,Spain,0,577405,36.7213028,-4.4216366,0.0,eu
Bremen,Germany,0,563290,53.0758196,8.8071646,0.0,eu
The Hague,Netherlands,0,562501,52.0799838,4.3113461,0.0,eu
Genoa,Italy,0,560688,44.40726,8.9338624,0.0,eu
Dresden,Germany,0,555351,51.0493286,13.7381437,0.0,eu
Lisbon,Portugal,0,545923,38.7077507,-9.1365919,0.0,eu
Poznań,Poland,0,545073,52.4006632,16.91973259178088,0.0,eu
Antwerp,Belgium,0,536079,51.2211097,4.3997081,0.0,eu
Hanover,Germany,0,535932,52.3744779,9.7385532,0.0,eu
Lyon,France,0,522969,45.7578137,4.8320114,0.0,eu
Nuremberg,Germany,0,510632,49.453872,11.077298,0.0,eu
Duisburg,Germany,31.0,495152,51.434999,6.759562,0.3305090471916179,eu
Toulouse,France,0,493465,43.6044622,1.4442469,0.0,eu
Gdańsk,Poland,0,486271,54.3706858,18.61298210330077,0.0,eu
Bratislava,Slovakia,0,475044,48.1516988,17.1093063,0.0,eu
Murcia,Spain,14.1,460349,37.9923795,-1.1305431,0.16224202038484223,eu
Tallinn,Estonia,0,437811,59.4372155,24.7453688,0.0,eu
Palma de Mallorca,Spain,0,419366,39.5695818,2.6500745,0.0,eu
Szczecin,Poland,0,394482,53.4301818,14.5509623,0.0,eu
Bologna,Italy,0,392203,44.4938203,11.3426327,0.0,eu
Iași,Romania,0,391024,47.1615416,27.5837224,0.0,eu
Sintra,Portugal,0,385654,38.83554455,-9.352237113314317,0.0,eu
Brno,Czech Republic,0,379466,49.1922443,16.6113382,0.0,eu
Las Palmas,Spain,7.3,378675,28.1288694,-15.4349015,0.10129602629385338,eu
Florence,Italy,0,367150,43.7698712,11.2555757,0.0,eu
Bochum,Germany,0.7,363441,51.4818111,7.2196635,0.010651808268987551,eu
Utrecht,Netherlands,0,367781,52.080985600000005,5.12768396945229,0.0,eu
Aarhus,Denmark,0,355238,56.1496278,10.2134046,0.0,eu
Wuppertal,Germany,6.1,354572,51.264018,7.1780374,0.09061517443692105,eu
Malmö,Sweden,0,351749,55.6052931,13.0001566,0.0,eu
Bilbao,Spain,8.3,346405,43.2630018,-2.9350039,0.12575229945535935,eu
Plovdiv,Bulgaria,0,343070,42.1418541,24.7499297,0.0,eu
Nice,France,0,342669,43.7009358,7.2683912,0.0,eu
Varna,Bulgaria,0,341737,43.2073873,27.9166653,0.0,eu
Alicante,Spain,0.1,337304,38.3436365,-0.4881708,0.0009512842400364041,eu
Bydgoszcz,Poland,0,334026,53.1219648,18.0002529,0.0,eu
Bielefeld,Germany,0,334002,52.0191005,8.531007,0.0,eu
Lublin,Poland,0,332852,51.250559,22.5701022,0.0,eu
Bonn,Germany,0,331885,50.735851,7.10066,0.0,eu
Cluj-Napoca,Romania,0,328316,46.769379,23.5899542,0.0,eu
Córdoba,Spain,0,322071,37.8845813,-4.7760138,0.0,eu
Nantes,France,0,318808,47.2186371,-1.5541362,0.0,eu
Timișoara,Romania,0,318296,45.7538355,21.2257474,0.0,eu
Thessaloniki,Greece,0,317778,40.6403167,22.9352716,0.0,eu
Münster,Germany,0,317713,51.9625101,7.6251879,0.0,eu
Bari,Italy,0,316140,41.1257843,16.8620293,0.0,eu
Mannheim,Germany,0,311831,49.4892913,8.4673098,0.0,eu
Constanța,Romania,0,306607,44.1767161,28.6507598,0.0,eu
Karlsruhe,Germany,0,306502,49.0068705,8.4034195,0.0,eu
Kaunas,Lithuania,0,305120,54.8982139,23.9044817,0.0,eu
Galați,Romania,0,304957,45.4338215,28.0549395,0.0,eu
Vila Nova de Gaia,Portugal,9.3,303854,41.1300103,-8.6058415,0.16123116684787336,eu
