city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region
New Orleans,LA,12.9,392031,29.9759983,-90.0782127,0.1735144740690929,us
Cleveland,OH,33.9,367786,41.4996574,-81.6936772,0.4872750093411695,us
Honolulu,HI,19.9,353706,21.304547,-157.855676,0.296555847653948,us
Anaheim,CA,5.0,348936,33.8347516,-117.911732,0.07634753432458596,us
Louisville,KY,33.9,344794,38.2542376,-85.759407,0.5198680379169973,us
Henderson,NV,0,329586,36.0301134,-114.9826194,0.0,us
Lexington,KY,0,327924,38.0464066,-84.4970393,0.0,us
Irvine,CA,16.8,326730,33.6856969,-117.8259819,0.27084294590890134,us
Stockton,CA,29.2,326624,37.9577016,-121.2907796,0.471779312951811,us
Orlando,FL,57.6,321427,28.5421109,-81.3790304,0.9456926056596996,us
Corpus Christi,TX,6.8,320393,27.7635302,-97.4033191,0.11252172871302425,us
Newark,NJ,11.9,318431,40.735657,-74.1723667,0.19775202212950907,us
Riverside,CA,20.5,317224,33.9533546,-117.3961623,0.3415676349059684,us
St. Paul,MN,50.2,316819,44.9497487,-93.0931028,0.8370329650211893,us
Cincinnati,OH,49.1,311791,39.1014537,-84.5124602,0.8316262028619618,us
San Juan,PR,0,311038,18.465299,-66.116666,0.0,us
Santa Ana,CA,12.6,307367,33.7494951,-117.8732213,0.21694331807181974,us
Greensboro,NC,0,304909,36.0726355,-79.7919754,0.0,us
Pittsburgh,PA,46.3,302425,40.4416941,-79.9900861,0.8085324940769859,us
Jersey City,NJ,13.7,301419,40.7215682,-74.047455,0.2392800329453189,us
St. Louis,MO,18.8,298034,38.6319657,-90.2428756,0.3336104393739239,us
Lincoln,NE,1.9,297622,40.8088861,-96.7077751,0.03415512694061178,us
Durham,NC,13.0,294542,35.996653,-78.9018053,0.23349591261829303,us
Anchorage,AK,0,291131,61.2163129,-149.894852,0.0,us
Plano,TX,36.2,290624,33.0136764,-96.6925096,0.6578922675182554,us
Chandler,AZ,0,283959,33.3061605,-111.84125,0.0,us
Chula Vista,CA,14.8,281801,32.6400541,-117.0841955,0.27687415629953227,us
Buffalo,NY,28.9,281757,42.8867166,-78.8783922,0.5411811594353986,us
Gilbert,AZ,0,279810,33.3527632,-111.7890373,0.0,us
Madison,WI,0,277166,43.074761,-89.3837613,0.0,us
Reno,NV,19.2,271953,39.5261206,-119.8126581,0.37244701079523773,us
North Las Vegas,NV,22.1,271641,36.2005843,-115.121584,0.42915021070944376,us
Toledo,OH,21.2,267603,41.6529143,-83.5378173,0.41854219376603313,us
Fort Wayne,IN,0,265926,41.0799898,-85.1386015,0.0,us
Irving,TX,21.8,264762,32.8295183,-96.9442177,0.4341557897182726,us
Lubbock,TX,0,262655,33.5635206,-101.879336,0.0,us
St. Petersburg,FL,26.7,261016,27.7703796,-82.6695085,0.5407548705772942,us
Laredo,TX,13.9,259027,27.5236998,-99.497352,0.28333579644781703,us
Chesapeake,VA,0,254864,36.7183708,-76.2466798,0.0,us
Winston-Salem,NC,25.7,253531,36.0998131,-80.2440518,0.5355473877747323,us
Glendale,AZ,0,252645,33.5386858,-112.185994,0.0,us
Garland,TX,0,249846,32.912624,-96.6388833,0.0,us
Scottsdale,AZ,0,246157,33.4942189,-111.9260184,0.0,us
Arlington,VA,13.6,244847,38.8769326,-77.0893094,0.2936306621575173,us
Enterprise,NV,0,244501,36.046139,-115.223759,0.0,us
Boise,ID,4.6,241686,43.6166163,-116.200886,0.10001615641348482,us
Santa Clarita,CA,0,239143,34.3916641,-118.542586,0.0,us
Norfolk,VA,15.3,237045,36.8968052,-76.2602336,0.3416800577761491,us
Fremont,CA,0,233788,37.5482697,-121.988571,0.0,us
Spokane,WA,17.0,233003,47.6571934,-117.42351,0.3863139098075084,us
Richmond,VA,34.7,231090,37.5385087,-77.43428,0.7930566973785118,us
Baton Rouge,LA,0,227066,30.4507936,-91.1391153,0.0,us
San Bernardino,CA,0,224537,34.8253019,-116.0833144,0.0,us
Tacoma,WA,15.4,223536,47.2495798,-122.439874,0.3626904252096055,us
Spring Valley,NV,0,223037,36.1111405,-115.2428656,0.0,us
Hialeah,FL,0,222797,25.8575963,-80.2781057,0.0,us
Huntsville,AL,35.7,221986,34.729847,-86.5859011,0.8499626228943594,us
Modesto,CA,25.4,221924,37.6390972,-120.9968782,0.6042482646548596,us
Frisco,TX,6.2,217213,33.1506744,-96.8236116,0.15091182075146478,us
Des Moines,IA,23.4,216273,41.5910323,-93.6046655,0.5712221192541981,us
Yonkers,NY,1.6,214687,40.9312099,-73.8987469,0.039648022884638985,us
Port St. Lucie,FL,0,212901,27.2939333,-80.3503283,0.0,us
Moreno Valley,CA,21.6,211688,33.937517,-117.2305944,0.5384017296729113,us
Worcester,MA,19.4,211612,42.2625621,-71.8018877,0.4831006790974493,us
Rochester,NY,30.4,211480,43.157285,-77.615214,0.7583047035821598,us
Fontana,CA,0,210857,34.0922335,-117.435048,0.0,us
Columbus,GA,5.8,210330,32.4610708,-84.9880449,0.14530663542929112,us
Fayetteville,NC,8.8,210089,35.0525759,-78.878292,0.222181803988088,us
Sunrise Manor,NV,0,208868,36.1830875,-115.02796403836633,0.0,us
McKinney,TX,0,208146,33.1976496,-96.6154471,0.0,us
Little Rock,AR,18.7,204405,34.7465071,-92.2896267,0.4831253417190208,us
Augusta,GA,5.9,203329,33.4709714,-81.9748429,0.15232716392451112,us
Oxnard,CA,0,202895,34.1976308,-119.1803818,0.0,us
Salt Lake City,UT,1.7,202379,40.7596198,-111.8867975,0.044678751887749404,us
Amarillo,TX,9.8,202333,35.2072185,-101.833824,0.2552520442462767,us
Overland Park,KS,0,202012,38.9742502,-94.6851702,0.0,us
Cape Coral,FL,0,201958,26.6059432,-81.9806771,0.0,us
Grand Rapids,MI,41.1,201093,42.9632405,-85.6678639,1.0780159235155262,us
Huntington Beach,CA,0,200455,33.6783336,-118.0000166,0.0,us
Sioux Falls,SD,0,200243,43.5488256,-96.7307737,0.0,us
Grand Prairie,TX,21.5,200240,32.7459645,-96.9977846,0.567784371082568,us
Montgomery,AL,17.0,199571,32.3669656,-86.3006485,0.4504547117170097,us
Tallahassee,FL,0,199127,30.4380832,-84.2809332,0.0,us
Birmingham,AL,37.7,198433,33.5206824,-86.8024326,1.0032353528095106,us
Peoria,AZ,0,198369,33.5806115,-112.237294,0.0,us
Glendale,CA,29.9,197507,34.1469416,-118.2478471,0.7997706258240257,us
Vancouver,WA,25.6,196739,45.6306954,-122.6744557,0.6859640645305671,us
Providence,RI,49.1,193512,41.8239891,-71.4128343,1.339549607512156,us
Knoxville,TN,34.5,193114,35.9603948,-83.9210261,0.9424289057759052,us
Brownsville,TX,20.4,189082,25.9140277,-97.4890879,0.568351007951908,us
Akron,OH,13.8,188741,41.083064,-81.518485,0.3866784772513929,us
Newport News,VA,18.9,187353,36.9775016,-76.42977,0.5340249660511088,us
Fort Lauderdale,FL,0,186208,26.1223084,-80.1433786,0.0,us
Mobile,AL,0,185427,30.6867339,-88.0848929,0.0,us
Shreveport,LA,17.3,185249,32.4707862,-93.7559378,0.49304702594783295,us
Paradise,NV,35.3,184852,36.1150858,-115.173414,1.008123104210131,us
Tempe,AZ,25.2,184361,33.4255056,-111.9400091,0.7231411328162612,us
Chattanooga,TN,16.2,183783,35.0457219,-85.3094883,0.4640929968561916,us
Cary,NC,0,182619,35.7882893,-78.7812081,0.0,us
Eugene,OR,10.2,180748,44.0505054,-123.0950506,0.29651223287914846,us
Elk Grove,CA,17.4,180746,38.4087993,-121.3716178,0.5071088336120374,us
Santa Rosa,CA,33.4,180189,38.4404925,-122.7141049,0.9782764460411453,us
Salem,OR,0,179715,44.9391565,-123.033121,0.0,us
Ontario,CA,0,177533,50.000678,-86.000977,0.0,us
Aurora,IL,0,177070,41.7571701,-88.3147539,0.0,us
Lancaster,CA,0,176892,34.6981064,-118.1366153,0.0,us
Rancho Cucamonga,CA,0,176289,34.1033192,-117.5751735,0.0,us
Oceanside,CA,21.9,175464,33.1958696,-117.3794834,0.6599701218044789,us
Fort Collins,CO,0,174974,40.5508527,-105.0668085,0.0,us
Pembroke Pines,FL,19.0,174464,26.0031465,-80.223937,0.574861562880222,us
Clarksville,TN,0,173480,36.5277607,-87.3588703,0.0,us
Palmdale,CA,7.4,172790,34.5793131,-118.1171108,0.2256691769873457,us
Garden Grove,CA,21.8,172163,33.7746292,-117.9463717,0.6678886383532036,us
Springfield,MO,0,171112,37.1968298,-93.2946576,0.0,us
Hayward,CA,0,166708,37.6688205,-122.080796,0.0,us
Salinas,CA,22.9,166162,36.6744117,-121.6550372,0.7288015078968096,us
Alexandria,VA,23.7,163367,38.8051095,-77.0470229,0.7667510636457262,us
Paterson,NJ,28.6,162438,40.9167654,-74.171811,0.93021337371992,us
Murfreesboro,TN,0,161571,35.8460396,-86.3921096,0.0,us
Bayamon,PR,10.3,161242,18.3990551,-66.1560326,0.33606806618316165,us
Sunnyvale,CA,0,158949,37.3688301,-122.036349,0.0,us
Kansas City,KS,16.4,158771,39.1134562,-94.626497,0.545854175404833,us
Lakewood,CO,0,158584,39.7085736,-105.0846694,0.0,us
Killeen,TX,0,158129,31.1171441,-97.727796,0.0,us
Corona,CA,56.0,158088,33.8752945,-117.5664449,1.870520523365931,us
Bellevue,WA,32.8,157752,47.6144219,-122.192337,1.0971633762990116,us
Springfield,MA,41.0,156503,42.1018764,-72.5886727,1.3818375864251564,us
Charleston,SC,10.6,156255,32.7876012,-79.9402728,0.3576547237375509,us
Hollywood,FL,0,155527,26.0112014,-80.1494901,0.0,us
Roseville,CA,0.8,153569,38.7521235,-121.2880059,0.028035584062927905,us
Pasadena,TX,0,152532,29.6910753,-95.2092076,0.0,us
Escondido,CA,4.6,152464,33.1216751,-117.0814849,0.15857979894368032,us
Pomona,CA,0,152245,34.0553813,-117.7517496,0.0,us
Mesquite,TX,0,152164,32.7666103,-96.599472,0.0,us
Naperville,IL,0,151078,41.7728699,-88.1479278,0.0,us
Joliet,IL,1.2,150948,41.5263603,-88.0840212,0.04299928063794647,us
Savannah,GA,2.1,150078,32.0564572,-81.0951271,0.07382907151325527,us
Jackson,MS,0,149739,32.3086744,-90.1983063,0.0,us
Bridgeport,CT,24.7,149538,41.1670412,-73.2048348,0.8710667037118752,us
Syracuse,NY,33.3,149310,43.0481221,-76.1474244,1.1787391747540183,us
Surprise,AZ,0,148274,33.6292271,-112.3680189,0.0,us
Rockford,IL,0,147811,42.2713945,-89.093966,0.0,us
Torrance,CA,0,147393,33.8358492,-118.3406288,0.0,us
Thornton,CO,24.3,146487,39.8695516,-104.985181,0.8765166038138335,us
Kent,WA,15.0,145424,47.3826903,-122.2270272,0.5462062429396395,us
Fullerton,CA,0,145309,33.8708215,-117.9294165,0.0,us
Denton,TX,7.4,145167,33.1838787,-97.1413417,0.2675748400973025,us
Visalia,CA,13.2,144772,36.3302284,-119.292058,0.48196343275888803,us
McAllen,TX,0,144676,26.204114,-98.2300605,0.0,us
London,United Kingdom,0,8961989,51.5073359,-0.12765,0.0,europe
Berlin,Germany,0,3426354,52.5170365,13.3888599,0.0,europe
Madrid,Spain,1.1,3255944,40.4167047,-3.7035825,0.0017993962874605016,europe
Kyiv,Ukraine,0,2797553,50.4500336,30.5241361,0.0,europe
Rome,Italy,0,2318895,41.8933203,12.4829321,0.0,europe
Paris,France,0,2138551,48.8588897,2.3200410217200766,0.0,europe
Bucharest,Romania,0,1877155,44.4361414,26.1027202,0.0,europe
Minsk,Belarus,0,1742124,53.9024716,27.5618225,0.0,europe
Budapest,Hungary,0,1741041,47.4979937,19.0403594,0.0,europe
Hamburg,Germany,0,1739117,53.550341,10.000654,0.0,europe
Warsaw,Poland,0,1702139,52.2319581,21.0067249,0.0,europe
Vienna,Austria,0,1691468,48.2083537,16.3725042,0.0,europe
Barcelona,Spain,0,1621537,41.3828939,2.1774322,0.0,europe
Stockholm,Sweden,0,1515017,59.3251172,18.0710935,0.0,europe
Kharkiv,Ukraine,0,1430885,49.9923181,36.2310146,0.0,europe
Belgrade,Serbia,0,1273651,44.8178131,20.4568974,0.0,europe
Munich,Germany,0,1260391,48.1371079,11.5753822,0.0,europe
Milan,Italy,0,1236837,45.4641943,9.1896346,0.0,europe
Prague,Czech Republic,0,1165581,50.0874654,14.4212535,0.0,europe
Copenhagen,Denmark,0,1153615,55.6867243,12.5700724,0.0,europe
Sofia,Bulgaria,0,1152556,42.6977028,23.3217359,0.0,europe
Donetsk,Ukraine,0,1024700,48.0158753,37.8013407,0.0,europe
Dublin,Ireland,0,1024027,53.3498006,-6.2602964,0.0,europe
Brussels,Belgium,0,1019022,50.8465573,4.351697,0.0,europe
Odessa,Ukraine,0,1013159,46.4843023,30.7322878,0.0,europe
Dnipro,Ukraine,0,998103,51.9191343,30.8243039,0.0,europe
Birmingham,United Kingdom,1.9,984333,52.4796992,-1.9026911,0.009924546878826603,europe
Koeln,Germany,1.1,963395,50.938361,6.959974,0.005776811404557809,europe
Naples,Italy,0,959470,40.8358846,14.2487679,0.0,europe
Turin,Italy,0,870456,45.0677551,7.6824892,0.0,europe
Liverpool,United Kingdom,0,864122,53.4071991,-2.99168,0.0,europe
Valencia,Spain,0,814208,39.4697065,-0.3763353,0.0,europe
Marseille,France,4.8,794811,43.2961743,5.3699525,0.03164003977730479,europe
Lodz,Poland,0,768755,51.7687323,19.4569911,0.0,europe
Krakow,Poland,0,755050,50.0619474,19.9368564,0.0,europe
Riga,Latvia,0,742572,56.9493977,24.1051846,0.0,europe
Amsterdam,Netherlands,0,741636,52.3730796,4.8924534,0.0,europe
Zaporizhzhya,Ukraine,0,738728,47.8507859,35.1182867,0.0,europe
Lviv,Ukraine,0,717803,49.841952,24.0315921,0.0,europe
Sevilla,Spain,0,703206,37.3886303,-5.9953403,0.0,europe
Zagreb,Croatia,0,698966,45.84264135,15.962231476593626,0.0,europe
Sarajevo,Bosnia and Herzegovina,0,696731,43.8519774,18.3866868,0.0,europe
Sheffield,United Kingdom,0,685368,53.3806626,-1.4702278,0.0,europe
Zaragoza,Spain,0,674317,41.6521342,-0.8809428,0.0,europe
Athens,Greece,0,664046,37.9839412,23.7283052,0.0,europe
Frankfurt am Main,Germany,0,650000,50.1106444,8.6820917,0.0,europe
Palermo,Italy,0,648260,38.1112268,13.3524434,0.0,europe
Chisinau,Moldova,0,635994,47.0245117,28.8322923,0.0,europe
Wroclaw,Poland,0,634893,51.1089776,17.0326689,0.0,europe
Bristol,United Kingdom,0,617280,51.4538022,-2.5972985,0.0,europe
Rotterdam,Netherlands,0,598199,51.9244424,4.47775,0.0,europe
Essen,Germany,7.8,593085,51.4582235,7.0158171,0.0690724077089837,europe
Glasgow,United Kingdom,37.3,591620,55.8606182,-4.2497933,0.33281680318967777,europe
Stuttgart,Germany,0,589793,48.7784485,9.1800132,0.0,europe
Dortmund,Germany,0,588462,51.5142273,7.4652789,0.0,europe
Genoa,Italy,0,580223,44.40726,8.9338624,0.0,europe
Oslo,Norway,0,580000,59.9133301,10.7389701,0.0,europe
Duesseldorf,Germany,0,573057,51.2254018,6.7763137,0.0,europe
Goeteborg,Sweden,6.4,572799,57.7072326,11.9670171,0.05855865555202081,europe
Poznan,Poland,0,570352,52.4006632,16.91973259178088,0.0,europe
Malaga,Spain,0,568305,36.7213028,-4.4216366,0.0,europe
Helsinki,Finland,0,558457,60.1674881,24.9427473,0.0,europe
Bremen,Germany,0,546501,53.0758196,8.8071646,0.0,europe
Vilnius,Lithuania,0,542366,54.6870458,25.2829111,0.0,europe
Lisbon,Portugal,0,517802,38.7077507,-9.1365919,0.0,europe
Nuernberg,Germany,0,515543,49.453872,11.077298,0.0,europe
Hannover,Germany,0,515140,52.3744779,9.7385532,0.0,europe
Leicester,United Kingdom,0,508916,52.6362,-1.1331969,0.0,europe
Leipzig,Germany,0,504971,51.3406321,12.3747329,0.0,europe
Duisburg,Germany,31.0,504358,51.434999,6.759562,0.3244762960734716,europe
Dresden,Germany,0,486854,51.0493286,13.7381437,0.0,europe
Mykolayiv,Ukraine,0,483186,46.9380295,32.0626947,0.0,europe
Homyel',Belarus,0,480951,52.4238936,31.0131698,0.0,europe
Skopje,North Macedonia,0,474889,41.9961816,21.4319213,0.0,europe
The Hague,Netherlands,0,474292,52.0799838,4.3113461,0.0,europe
Lyon,France,0,472317,45.7578137,4.8320114,0.0,europe
Edinburgh,United Kingdom,0,464990,55.9533456,-3.1883749,0.0,europe
Sevastopol,Ukraine,0,464349,44.624513,33.5098156,0.0,europe
Gdansk,Poland,0,461865,54.3706858,18.61298210330077,0.0,europe
Antwerpen,Belgium,0,459805,51.2211097,4.3997081,0.0,europe
Leeds,United Kingdom,14.8,455123,53.7974185,-1.5437941,0.17177420944952765,europe
Luhansk,Ukraine,0,452000,49.2724587,38.9150477,0.0,europe
Cardiff,United Kingdom,0,447287,51.4816546,-3.1791934,0.0,europe
Murcia,Spain,14.1,436870,37.9923795,-1.1305431,0.1709615030607314,europe
Toulouse,France,0,433055,43.6044622,1.4442469,0.0,europe
Mariupol,Ukraine,0,431859,47.0957648,37.5499621,0.0,europe
Bratislava,Slovakia,0,423737,48.1516988,17.1093063,0.0,europe
Wandsbek,Germany,5.4,411422,53.5760029,10.0755348,0.06953114504700546,europe
Szczecin,Poland,0,407811,53.4301818,14.5509623,0.0,europe
Palma,Spain,0,401270,39.5695818,2.6500745,0.0,europe
Manchester,United Kingdom,9.4,395515,53.4794892,-2.2451148,0.12581483954808695,europe
Tallinn,Estonia,0,394024,59.4372155,24.7453688,0.0,europe
Bochum,Germany,0.7,385729,51.4818111,7.2196635,0.010036330815388794,europe
Sector 3,Romania,0,385439,44.418233650000005,26.16511618586854,0.0,europe
Las Palmas de Gran Canaria,Spain,7.3,381847,28.1288694,-15.4349015,0.10045456100696072,europe
Bochum-Hordel,Germany,1.1,380000,51.4957286,7.1621104,0.014689816062605015,europe
Makiivka,Ukraine,0,376610,48.0448144,37.9635093,0.0,europe
Tirana,Albania,0,374801,41.3305141,19.825562857582966,0.0,europe
Kaunas,Lithuania,0,374643,54.8982139,23.9044817,0.0,europe
Stoke-on-Trent,United Kingdom,0,372775,53.0162014,-2.1812607,0.0,europe
Vinnytsya,Ukraine,0,369839,49.2392809,28.5110617,0.0,europe
Brno,Czech Republic,0,369559,49.1922443,16.6113382,0.0,europe
Mahilyow,Belarus,0,369200,53.9090245,30.3429838,0.0,europe
Sector 6,Romania,0,367760,44.4478746,26.0324476,0.0,europe
Bydgoszcz,Poland,0,366452,53.1219648,18.0002529,0.0,europe
Bologna,Italy,0,366133,44.4938203,11.3426327,0.0,europe
Wuppertal,Germany,6.1,360797,51.264018,7.1780374,0.08905174829737489,europe
Lublin,Poland,0,360044,51.250559,22.5701022,0.0,europe
Coventry,United Kingdom,0,359262,52.4081812,-1.510477,0.0,europe
Bilbao,Spain,8.3,354860,43.2630018,-2.9350039,0.12275608773272208,europe
Thessaloniki,Greece,0,354290,40.6403167,22.9352716,0.0,europe
Florence,Italy,0,349296,43.7698712,11.2555757,0.0,europe
Sector 2,Romania,0,345370,44.45960075,26.130373356982982,0.0,europe
Vitebsk,Belarus,0,342700,55.1930197,30.2070437,0.0,europe
Zurich,Switzerland,0.7,341730,47.3744489,8.5410422,0.010503358859690717,europe
Plovdiv,Bulgaria,0,340494,42.1418541,24.7499297,0.0,europe
Nice,France,0,338620,43.7009358,7.2683912,0.0,europe
Simferopol,Ukraine,0,336460,44.9622742,34.0816974,0.0,europe
Sunderland,United Kingdom,0,335415,54.9058512,-1.3828727,0.0,europe
Alicante,Spain,0.1,334757,38.3436365,-0.4881708,0.000958522090057084,europe
Bielefeld,Germany,0,331906,52.0191005,8.531007,0.0,europe
Bonn,Germany,0,330579,50.735851,7.10066,0.0,europe
Brent,United Kingdom,0,329100,52.0184884,-0.723545,0.0,europe
Cordoba,Spain,0,328428,37.8845813,-4.7760138,0.0,europe
Birkenhead,United Kingdom,0,325264,53.3895177,-3.0248007,0.0,europe
Nottingham,United Kingdom,0,321500,52.9534193,-1.1496461,0.0,europe
Islington,United Kingdom,0,319143,51.5384287,-0.0999051,0.0,europe
Reading,United Kingdom,0,318014,51.456659,-0.9696512,0.0,europe
Iasi,Romania,0,318012,47.1615416,27.5837224,0.0,europe
Valladolid,Spain,0,317864,41.6521328,-4.728562,0.0,europe
Hrodna,Belarus,0,317365,53.6834599,23.8342648,0.0,europe
Katowice,Poland,8.6,317316,50.2598987,19.0215852,0.14319140750072856,europe
Cluj-Napoca,Romania,0,316748,46.769379,23.5899542,0.0,europe
Timisoara,Romania,0,315053,45.7538355,21.2257474,0.0,europe
Kingston upon Hull,United Kingdom,0,314018,53.7435722,-0.3394758,0.0,europe
Preston,United Kingdom,0,313332,53.7593363,-2.6992717,0.0,europe
Ostrava,Czech Republic,0,313088,49.8349139,18.2820084,0.0,europe
Varna,Bulgaria,0,312770,43.2073873,27.9166653,0.0,europe
Mannheim,Germany,0,307960,49.4892913,8.4673098,0.0,europe
Chernihiv,Ukraine,0,307684,51.272593,31.7417235,0.0,europe
Newport,United Kingdom,9.8,306844,51.5882332,-2.9974967,0.16923306546359318,europe
Craiova,Romania,0,304142,44.3190159,23.7965614,0.0,europe
Constanta,Romania,0,303399,44.1767161,28.6507598,0.0,europe
Malmoe,Sweden,0,301706,55.6052931,13.0001566,0.0,europe
Brest,Belarus,0,300715,52.093751,23.6851851,0.0,europe
Swansea,United Kingdom,0,300352,51.6195955,-3.9459248,0.0,europe
Bradford,United Kingdom,0,299310,53.7944229,-1.7519186,0.0,europe
Vigo,Spain,4.8,297332,42.2376602,-8.7247205,0.0858842810396038,europe
Southend-on-Sea,United Kingdom,0,295310,51.5388241,0.7128137,0.0,europe
Sumy,Ukraine,0,294456,50.9119775,34.8027723,0.0,europe
Galati,Romania,0,294087,45.4338215,28.0549395,0.0,europe
Bialystok,Poland,0,291855,53.127505049999996,23.147050870161664,0.0,europe
Catania,Italy,0,290927,37.5023612,15.0873718,0.0,europe
Utrecht,Netherlands,0,290529,52.080985600000005,5.12768396945229,0.0,europe
Kherson,Ukraine,0,289096,46.5421715,33.4079326,0.0,europe
Poltava,Ukraine,0,288324,49.8607809,33.7498787,0.0,europe
Sector 4,Romania,0,287828,44.38189825,26.119014615153255,0.0,europe
Marienthal,Germany,7.7,287101,53.5651302,10.0823813,0.14238527537774787,europe
Karlsruhe,Germany,0,283799,49.0068705,8.4034195,0.0,europe
Hamburg-Nord,Germany,0,280000,53.61915555,10.009739899920163,0.0,europe
Horlivka,Ukraine,0,278550,48.3058686,38.0027664,0.0,europe
Gijon,Spain,0,277554,43.5449422,-5.66275,0.0,europe
Bari,Italy,0,277387,41.1257843,16.8620293,0.0,europe
Nantes,France,0,277269,47.2186371,-1.5541362,0.0,europe
Cherkasy,Ukraine,0,276360,49.1460165,31.2271744,0.0,europe
Brasov,Romania,0,276088,45.6523093,25.6102746,0.0,europe
Strasbourg,France,0,274845,48.584614,7.7507127,0.0,europe
Belfast,United Kingdom,16.2,274770,54.596391,-5.9301829,0.3118995926798563,europe
Wiesbaden,Germany,0,272432,50.0820384,8.2416556,0.0,europe
Ljubljana,Slovenia,0,272220,46.0500268,14.5069289,0.0,europe
Sector 5,Romania,0,271575,44.404906,26.0718655,0.0,europe
Khmelnytskyi,Ukraine,0,271263,49.268624,27.0635998,0.0,europe
Derby,United Kingdom,0,270468,52.9212617,-1.4761491,0.0,europe
Muenster,Germany,0,270184,51.9625101,7.6251879,0.0,europe
Gelsenkirchen,Germany,0,270028,51.5110321,7.0960124,0.0,europe
Chernivtsi,Ukraine,0,266533,48.2864702,25.9376532,0.0,europe
Eixample,Spain,0,266477,41.3936885,2.1636552,0.0,europe
Aachen,Germany,0,265208,50.776351,6.083862,0.0,europe
Zhytomyr,Ukraine,0,263507,50.9080532,28.3867504,0.0,europe
